0-Mil-neg.,1-Public works,2-FR invasion,3-Malfeasance,4-Leader_Success.,5-Tun-Alg conflict,6-Ill_Death,7-Defense-Con.,8-Rel_Gov_Power,9-FR-Conc.,10-unknown,11-Intern-discord,12-Councilmen-act.,13-Fall-Con.,14-Desert-comm.,15-Grand tribes,16-Ott-Tribes-neg.,17-Women,18-Alg-mil-resist.,19-Despotic-rule
0.000106,0.000034,0.000015,0.000211,0.394879,0.30242,0.000093,0.000198,0.000213,0.000166,0.003511,0.000086,0.000154,0.000043,0.000059,0.0003,0.297349,0.000044,0.000089,0.00003
0.011181,0.003617,0.001528,0.022189,0.547392,0.031075,0.009753,0.201273,0.022434,0.017416,0.008217,0.009029,0.01617,0.004567,0.006199,0.031511,0.039399,0.004591,0.009355,0.003104
0.003016,0.000976,0.000412,0.005986,0.634491,0.008383,0.002631,0.005612,0.298148,0.004698,0.002217,0.002436,0.004362,0.001232,0.001672,0.008501,0.010628,0.001238,0.002524,0.000837
0.000191,0.000062,0.000026,0.00038,0.482267,0.012895,0.389607,0.003447,0.000384,0.015752,0.000141,0.000155,0.000277,0.000078,0.000106,0.00054,0.093399,0.000079,0.00016,0.000053
0.000197,0.000064,0.000027,0.022646,0.387972,0.251707,0.000172,0.000367,0.000395,0.003486,0.000145,0.000159,0.003464,0.00008,0.000109,0.016451,0.312259,0.000081,0.000165,0.000055
0.009472,0.003064,0.001294,0.018797,0.616585,0.026324,0.008262,0.170503,0.019005,0.014753,0.006961,0.007649,0.013698,0.003869,0.005252,0.026694,0.033376,0.003889,0.007925,0.00263
0.011181,0.003617,0.001528,0.022189,0.547392,0.211542,0.009753,0.020806,0.022434,0.017416,0.008217,0.009029,0.01617,0.004567,0.006199,0.031511,0.039399,0.004591,0.009355,0.003104
0.003385,0.000013,0.000006,0.020142,0.433979,0.030873,0.000036,0.000077,0.000083,0.001402,0.00003,0.002039,0.00006,0.000017,0.000692,0.000117,0.314413,0.000017,0.000035,0.192584
0.000322,0.005298,0.000044,0.000639,0.690934,0.234611,0.000281,0.000599,0.000646,0.000501,0.000236,0.00026,0.000465,0.000131,0.005372,0.058038,0.001134,0.000132,0.000269,0.000089
0.000146,0.000047,0.00002,0.000289,0.425419,0.096753,0.000127,0.000271,0.000292,0.000227,0.000107,0.000118,0.000211,0.000059,0.000081,0.00041,0.235508,0.239755,0.000122,0.00004
0.009888,0.000096,0.000041,0.115675,0.311848,0.115911,0.000259,0.000553,0.000596,0.048415,0.000218,0.129711,0.00043,0.000121,0.000165,0.000837,0.264784,0.000122,0.000249,0.000082
0.011181,0.003617,0.001528,0.022189,0.547392,0.031075,0.009753,0.020806,0.022434,0.017416,0.008217,0.009029,0.01617,0.004567,0.006199,0.031511,0.219866,0.004591,0.009355,0.003104
0.002513,0.000047,0.00002,0.000291,0.433172,0.009874,0.000128,0.090205,0.000294,0.281858,0.000108,0.000118,0.000212,0.00006,0.000081,0.180277,0.000517,0.00006,0.000123,0.000041
0.001456,0.000471,0.000199,0.14393,0.588446,0.027554,0.00127,0.00271,0.002922,0.002268,0.00107,0.095203,0.002106,0.000595,0.000807,0.051118,0.075652,0.000598,0.001219,0.000404
0.000555,0.00018,0.000076,0.001102,0.340979,0.064301,0.000485,0.001034,0.01008,0.242928,0.000408,0.000449,0.009769,0.000227,0.000308,0.001565,0.324708,0.000228,0.000465,0.000154
0.001908,0.000036,0.000015,0.000221,0.50137,0.0057,0.000097,0.000207,0.000223,0.240946,0.000082,0.00009,0.000161,0.000045,0.000062,0.24468,0.003986,0.000046,0.000093,0.000031
0.011181,0.003617,0.001528,0.202656,0.547392,0.031075,0.009753,0.020806,0.022434,0.017416,0.008217,0.009029,0.01617,0.004567,0.006199,0.031511,0.039399,0.004591,0.009355,0.003104
0.000083,0.000027,0.000011,0.000165,0.397605,0.002917,0.000073,0.000155,0.000167,0.00013,0.000061,0.454038,0.00012,0.000034,0.000046,0.001578,0.14132,0.000034,0.001413,0.000023
0.000506,0.000164,0.000069,0.001003,0.285889,0.058529,0.000441,0.000941,0.286633,0.000788,0.000372,0.000408,0.000731,0.000207,0.00028,0.058549,0.303721,0.000208,0.000423,0.00014
0.011181,0.003617,0.001528,0.022189,0.547392,0.031075,0.009753,0.020806,0.202902,0.017416,0.008217,0.009029,0.01617,0.004567,0.006199,0.031511,0.039399,0.004591,0.009355,0.003104
0.008216,0.002658,0.001123,0.016304,0.667428,0.022833,0.007167,0.015288,0.016485,0.012797,0.006038,0.006635,0.011881,0.003356,0.004555,0.023154,0.161555,0.003373,0.006874,0.002281
0.011032,0.000072,0.000031,0.195009,0.529771,0.00062,0.003798,0.000415,0.000448,0.000348,0.000164,0.00018,0.003926,0.000091,0.000124,0.238432,0.015199,0.000092,0.000187,0.000062
0.000769,0.000249,0.000105,0.001527,0.434972,0.002138,0.000671,0.001431,0.013959,0.001198,0.000565,0.000621,0.001112,0.000314,0.261163,0.27532,0.002711,0.000316,0.000644,0.000214
0.000286,0.000093,0.000039,0.000568,0.34189,0.000795,0.101847,0.00515,0.055991,0.000446,0.00021,0.009467,0.000414,0.000117,0.000159,0.005424,0.268856,0.20793,0.000239,0.000079
0.00012,0.000039,0.000016,0.007982,0.373703,0.000333,0.002041,0.14542,0.000241,0.000187,0.205299,0.000097,0.019533,0.000049,0.000067,0.000338,0.244353,0.000049,0.0001,0.000033
0.013744,0.000068,0.000029,0.000416,0.599014,0.014117,0.000183,0.00039,0.227123,0.000327,0.000154,0.000169,0.000303,0.000086,0.0035,0.125785,0.014273,0.000086,0.000175,0.000058
0.000044,0.000014,0.000006,0.000088,0.429965,0.042401,0.000039,0.061707,0.015137,0.241553,0.000033,0.000036,0.000064,0.000018,0.000025,0.20793,0.000156,0.000018,0.000754,0.000012
0.000155,0.00005,0.000021,0.000308,0.360496,0.11306,0.000135,0.012803,0.000311,0.122882,0.000114,0.000125,0.000224,0.000063,0.000086,0.000437,0.388491,0.000064,0.00013,0.000043
0.000036,0.097851,0.000005,0.000646,0.386197,0.021969,0.089238,0.000066,0.000072,0.004084,0.000026,0.000604,0.000052,0.000015,0.088651,0.0001,0.310334,0.000015,0.00003,0.00001
0.000501,0.000162,0.000069,0.000995,0.445464,0.333267,0.000437,0.041406,0.001006,0.000781,0.000369,0.000405,0.000725,0.000205,0.000278,0.171397,0.001767,0.000206,0.00042,0.000139
0.048337,0.00008,0.000034,0.437294,0.501052,0.00069,0.000217,0.000462,0.000498,0.000387,0.000182,0.0002,0.000359,0.000101,0.000138,0.008714,0.000875,0.000102,0.000208,0.000069
0.00494,0.001598,0.000675,0.009804,0.720283,0.01373,0.004309,0.009193,0.009912,0.007695,0.003631,0.003989,0.007144,0.002018,0.002739,0.09366,0.097145,0.002028,0.004133,0.001372
0.00011,0.000036,0.000015,0.003774,0.458692,0.005639,0.000096,0.001983,0.001999,0.000172,0.001859,0.341397,0.000159,0.000045,0.000061,0.002088,0.181708,0.000045,0.000092,0.000031
0.058601,0.000051,0.000022,0.000312,0.480339,0.013143,0.010301,0.028244,0.013021,0.241643,0.000116,0.000127,0.000228,0.000064,0.000087,0.150364,0.003096,0.000065,0.000132,0.000044
