French Invasion,Religion,Colonial Power Relations,Governance & Succession
0.002008,0.000381,0.414845,0.582766
0.035287,0.046557,0.071407,0.846749
0.008498,0.011212,0.067808,0.912482
0.00052,0.037866,0.310882,0.650732
0.003722,0.000706,0.542901,0.45267
0.029159,0.038472,0.059006,0.873363
0.035287,0.046557,0.071407,0.846749
0.000112,0.013528,0.408989,0.57737
0.084314,0.001155,0.027846,0.886684
0.000395,0.000522,0.384548,0.614536
0.010435,0.001066,0.531097,0.457402
0.035287,0.25672,0.071407,0.636586
0.318116,0.000525,0.088534,0.592825
0.004021,0.029252,0.008137,0.95859
0.001516,0.002,0.526731,0.469753
0.277401,0.000399,0.002411,0.71979
0.035287,0.046557,0.071407,0.846749
0.000226,0.167019,0.315075,0.51768
0.001379,0.100375,0.421653,0.476592
0.035287,0.046557,0.071407,0.846749
0.024844,0.032779,0.198244,0.744133
0.145137,0.0008,0.030134,0.823929
0.265401,0.015315,0.00426,0.715024
0.047126,0.107628,0.418708,0.426538
0.000326,0.015941,0.405887,0.577846
0.081992,0.021107,0.007938,0.888963
0.355021,0.000159,0.02247,0.622351
0.000421,0.000556,0.552565,0.446459
0.000097,0.049069,0.433186,0.517648
0.074683,0.001805,0.05979,0.863722
0.060974,0.213949,0.001366,0.723711
0.014279,0.01884,0.028897,0.937984
0.000299,0.094741,0.278304,0.626656
0.384888,0.023479,0.000865,0.590768
0.160015,0.002746,0.000764,0.836475
0.014683,0.010296,0.525309,0.449712
0.035287,0.046557,0.281571,0.636586
0.002079,0.002743,0.053738,0.94144
0.138293,0.081378,0.013389,0.76694
0.003555,0.000363,0.392516,0.603565
0.029159,0.038472,0.059006,0.873363
0.24545,0.046557,0.071407,0.636586
0.000731,0.000964,0.397547,0.600758
0.000747,0.000986,0.499825,0.498442
0.24545,0.046557,0.071407,0.636586
0.202824,0.038472,0.059006,0.699698
0.000415,0.240197,0.025546,0.733843
0.029159,0.038472,0.232672,0.699698
0.042876,0.051508,0.111205,0.79441
0.000232,0.003069,0.450896,0.545802
0.001413,0.000268,0.483019,0.515301
0.000207,0.322632,0.013952,0.66321
0.029159,0.038472,0.059006,0.873363
0.062261,0.22505,0.018113,0.694576
0.000744,0.160444,0.041371,0.797442
0.043282,0.305465,0.046074,0.605179
0.000294,0.324518,0.002347,0.67284
0.029159,0.038472,0.059006,0.873363
0.001753,0.37826,0.034877,0.585109
0.000406,0.295394,0.000821,0.703379
0.000649,0.402776,0.005178,0.591398
0.014396,0.077629,0.003016,0.904959
0.000581,0.121976,0.382118,0.495324
0.069203,0.00058,0.46254,0.467678
0.002308,0.016789,0.00467,0.976234
0.000568,0.436916,0.007911,0.554605
0.000195,0.304287,0.002715,0.692803
0.000222,0.075714,0.101011,0.823053
0.254153,0.000749,0.001149,0.743949
0.361521,0.00063,0.060666,0.577183
0.000052,0.406727,0.000105,0.593116
0.007373,0.131095,0.045443,0.816089
0.004496,0.050899,0.043655,0.900949
0.000106,0.163686,0.022859,0.813349
0.002407,0.26121,0.004871,0.731513
0.216796,0.000277,0.036732,0.746195
0.183157,0.000445,0.00671,0.809688
0.05292,0.193269,0.080497,0.673314
0.000909,0.358423,0.039726,0.600942
0.000116,0.321143,0.046385,0.632357
0.035287,0.046557,0.281571,0.636586
0.001641,0.166098,0.062296,0.769965
0.032013,0.372807,0.018939,0.576241
0.089214,0.330023,0.000078,0.580684
0.003108,0.242767,0.072759,0.681366
0.024844,0.032779,0.050275,0.892102
0.000365,0.352841,0.002914,0.64388
0.011308,0.286425,0.001652,0.700615
0.051229,0.167928,0.00284,0.778002
0.531647,0.000022,0.000034,0.468296
0.032293,0.088831,0.02781,0.851066
0.000111,0.36324,0.002205,0.634444
0.000453,0.132759,0.049466,0.817322
0.280134,0.000191,0.000293,0.719382
0.01316,0.017364,0.026632,0.942845
0.002054,0.014941,0.481172,0.501833
0.306191,0.000399,0.047394,0.646017
0.228775,0.111671,0.000275,0.65928
0.00053,0.000699,0.638783,0.359988
0.172812,0.032779,0.050275,0.744133
0.084652,0.010008,0.0409,0.864441
0.011164,0.293283,0.004722,0.690831
0.000128,0.303347,0.000259,0.696266
0.005083,0.009669,0.441071,0.544176
0.092909,0.063143,0.090657,0.753291
0.252494,0.000159,0.000244,0.747104
0.000646,0.000853,0.40553,0.592971
0.220591,0.093874,0.001659,0.683875
0.000499,0.000658,0.553334,0.44551
0.000706,0.01355,0.392583,0.593161
0.011377,0.01501,0.023023,0.95059
0.035287,0.046557,0.071407,0.846749
0.002216,0.042524,0.202483,0.752777
0.186396,0.000408,0.013523,0.799673
0.002442,0.032309,0.339447,0.625802
0.001126,0.187335,0.0283,0.783239
0.000544,0.000717,0.58732,0.411419
0.024844,0.032779,0.050275,0.892102
0.001114,0.008103,0.406875,0.583909
0.451479,0.041621,0.000261,0.50664
0.382295,0.029501,0.01086,0.577344
0.002442,0.07594,0.324903,0.596714
0.001255,0.001656,0.503444,0.493645
0.414083,0.041504,0.011407,0.533006
0.289648,0.000482,0.070341,0.63953
0.000197,0.000259,0.608298,0.391245
0.150538,0.028554,0.043795,0.777113
0.001304,0.125984,0.150202,0.722509
0.000189,0.374647,0.002639,0.622525
0.245343,0.000678,0.0041,0.749879
0.0007,0.000924,0.497751,0.500625
0.141285,0.000944,0.508352,0.349419
0.027143,0.080595,0.015809,0.876452
0.332351,0.000201,0.000308,0.667141
0.001246,0.001644,0.380977,0.616133
0.002132,0.002813,0.562986,0.432069
0.171821,0.057494,0.054991,0.715694
0.107237,0.136717,0.008469,0.747577
