Ott-Tribes-Neg.,Tribal rebellions,Leadership_Succession,Religion,Internal discord,Public works,Battle of Constantine
0.477123,0.000307,0.485855,0.000251,0.000235,0.036168,0.000060
0.048171,0.273339,0.584362,0.035318,0.033028,0.017311,0.008473
0.010817,0.216468,0.389702,0.369807,0.007416,0.003887,0.001903
0.235691,0.000579,0.505772,0.257167,0.000444,0.000233,0.000114
0.501704,0.025963,0.423469,0.048054,0.000455,0.000238,0.000117
0.039156,0.409325,0.475005,0.028708,0.026847,0.014071,0.006887
0.278392,0.043118,0.584362,0.035318,0.033028,0.017311,0.008473
0.350657,0.001452,0.514848,0.005413,0.127556,0.000050,0.000024
0.001094,0.115955,0.880815,0.000802,0.000750,0.000393,0.000192
0.422061,0.002765,0.525309,0.042282,0.000334,0.007163,0.000086
0.512121,0.005671,0.451594,0.005510,0.024569,0.000359,0.000176
0.048171,0.043118,0.814583,0.035318,0.033028,0.017311,0.008473
0.080999,0.445579,0.470087,0.000363,0.000340,0.002546,0.000087
0.052174,0.004423,0.815666,0.003623,0.121469,0.001776,0.000869
0.572840,0.001697,0.421758,0.001390,0.001300,0.000681,0.000334
0.000377,0.403691,0.595196,0.000276,0.000258,0.000135,0.000066
0.048171,0.043118,0.814583,0.035318,0.033028,0.017311,0.008473
0.161970,0.000250,0.457729,0.000205,0.379696,0.000100,0.000049
0.232474,0.001543,0.540105,0.207291,0.001182,0.017102,0.000303
0.048171,0.273339,0.354140,0.035318,0.033028,0.247532,0.008473
0.348260,0.029524,0.557764,0.024183,0.022615,0.011853,0.005802
0.000754,0.303549,0.593265,0.004159,0.090658,0.000271,0.007344
0.015240,0.140998,0.384886,0.001933,0.001808,0.454670,0.000464
0.323033,0.010064,0.407365,0.239958,0.019064,0.000346,0.000169
0.380647,0.000358,0.570444,0.011758,0.036579,0.000144,0.000070
0.004094,0.112368,0.685772,0.196901,0.000486,0.000255,0.000125
0.000865,0.390160,0.588644,0.000110,0.000103,0.012220,0.007898
0.496356,0.065249,0.424918,0.000382,0.000357,0.012645,0.000092
0.368468,0.000107,0.444157,0.000088,0.000082,0.187077,0.000021
0.026231,0.246742,0.699164,0.001254,0.001173,0.000615,0.024822
0.000843,0.310808,0.513556,0.004644,0.165671,0.000303,0.004175
0.018445,0.192821,0.752691,0.013524,0.012647,0.006628,0.003244
0.237815,0.002104,0.502421,0.000272,0.257190,0.000133,0.000065
0.008159,0.280130,0.598810,0.000390,0.000365,0.000191,0.111955
0.000465,0.246894,0.751733,0.000341,0.000319,0.000167,0.000082
0.418479,0.000850,0.383666,0.000696,0.018805,0.177337,0.000167
0.048171,0.043118,0.584362,0.035318,0.033028,0.017311,0.238694
0.027497,0.189029,0.778385,0.001909,0.001786,0.000936,0.000458
0.001187,0.233563,0.502078,0.261724,0.000814,0.000426,0.000209
0.424296,0.000302,0.536055,0.000247,0.000231,0.000121,0.038748
0.039156,0.035049,0.849281,0.028708,0.026847,0.014071,0.006887
0.048171,0.273339,0.584362,0.035318,0.033028,0.017311,0.008473
0.428839,0.000810,0.434584,0.000663,0.134620,0.000325,0.000159
0.509001,0.005246,0.400004,0.000678,0.075741,0.009168,0.000163
0.048171,0.043118,0.584362,0.265539,0.033028,0.017311,0.008473
0.039156,0.035049,0.849281,0.028708,0.026847,0.014071,0.006887
0.000516,0.000462,0.684699,0.303825,0.000354,0.010054,0.000091
0.039156,0.222187,0.662143,0.028708,0.026847,0.014071,0.006887
0.139725,0.095138,0.624857,0.053301,0.000399,0.080912,0.005668
0.390750,0.000257,0.479193,0.000211,0.129435,0.000103,0.000051
0.473802,0.002609,0.509980,0.003761,0.009714,0.000090,0.000044
0.000257,0.001460,0.601884,0.236251,0.105913,0.054190,0.000045
0.226294,0.035049,0.475005,0.028708,0.026847,0.201209,0.006887
0.011406,0.010210,0.410947,0.498996,0.062335,0.004099,0.002006
0.005273,0.000817,0.595344,0.018110,0.375609,0.004688,0.000160
0.024288,0.000446,0.641233,0.131210,0.016994,0.185741,0.000088
