Source,Target,Label,Name1,Name2
00021,00092,adopted son of,Achour,Sheikh des Ourzifa
00084,00102,allies with,Ibrahim Bey Ben Ali El-Critli,Ben-Kara-Ali
00006,00033,brother of,El-Guidoum,Ahmed ben Sakheri
00018,00099,brother of,Ahmed ben Nacer,Bou-Aziz
00035,00037,brother of,Son of Redjeb,Oum-Hani
00041,00084,brother of,Moustafa,Ibrahim Bey Ben Ali El-Critli
00123,00020,brother of,Mohammed ben Hassein-Bey,Mahmoud ben Hassein Bey
00072,00027,brother of,Ali-Bitchenin,Azîza-Bey
00023,00119,brother of,Ali-Pacha El Tunisi,Mohammed Bey El-Tunisi
00025,00032,son of,Son1 of Salah Bey,Salah Bey
00028,00093,cousin of,Female cousin of Keliane Hassein-Bey Bou Kemia,Keliane Hassein-Bey Bou Kemia
00075,00099,cousin of,Mohammed Bou-Gouffa,Bou-Aziz
00024,00144,daughter of,Deikra bint al-hadj ibn Bou-Zeyyid al Muqrani,al-hadj ibn Bou-Zeyyid al Muqrani
00003,00122,daughter of,Daughter of the Ben Gana,Mohammed Ben Gana
00004,00007,daughter of,Daughter of Ahmed-El-Kolli,Ahmed-El-Kolli
00004,00024,daughter of,Daughter of Ahmed-El-Kolli,Deikra bint al-hadj ibn Bou-Zeyyid al Muqrani
00004,00095,wife of,Daughter of Ahmed-El-Kolli,Sheikh El-Arab Ali-Bou-Akkaz
00115,00016,daughter of,Deïkha,Hossein Bey-Zereg-Ainou
00115,00043,daughter of,Deïkha,Daughter of Bou-Henak
00043,00008,daughter of,Daughter of Bou-Henak,Bou-Henak
00052,00019,daughter of,Daughter of Soultan ben Menasser,Soultan ben Menasser
00034,0066,daughter of,Tourkia,Ali ben Salah Bey
00034,00136,daughter of,Tourkia,Wife of Ali ben Salah Bey
00037,00050,daughter of,Oum-Hani,Redjeb-Bey
00090,00099,daughter of,Daughter of Bou-Aziz,Bou-Aziz
00058,00096,daughter of,Daughter of Brahim ben Bou-Aziz,Brahim ben Bou-Aziz
00058,00140,daughter of,Daughter of Brahim ben Bou-Aziz,Wife of Brahim ben Bou-Aziz
00027,00125,daughter of,Azîza-Bey,Ahmed-ben-Ramdan
00074,00099,daughter of,Euldjia bint Bou Aziz ben Nacer,Bou-Aziz
00074,00141,daughter of,Euldjia bint Bou Aziz ben Nacer,Wife of Bou-Aziz
00077,00032,daughter of,Daughter of Salah Bey,Salah Bey
00037,00087,daughter of,Oum-Hani,Safia
00114,00112,daughter of,Fatma El Belilia bint Redjradja,Redjradja
00105,00118,daughter of,Fatima,Sheikh El-Arab Debbah
00105,00138,daughter of,Fatima,Wife of Sheikh Al-Arab Debbah
00108,00109,daughter of,Daughter of Si Sadira,Si Sadira
00108,00139,daughter of,Daughter of Si Sadira,Wife of Si Sadira
00110,00062,daughter of,Daughter of Bou-Diaf,Bou-Diaf
00110,00117,daughter of,Daughter of Bou-Diaf,Wife of Bou-Diaf
00058,00032,engaged to but never wife of,Daughter of Brahim ben Bou-Aziz,Salah Bey
00036,00051,grandson of,Ahmed-Bey ben Farhat,Ferhat Bey
