Id,Label,Arabic Name,Gender,Ethnicity,Named,Tribal Affiliation
00001,Sister-in-law of Bou-Diaf,Unknown,Woman,Algerian,Referenced,Unknown
00002,Hassouna ben Bou-Henak,Unknown,Man,Kulughlu,Named,Unknown
00003,Daughter of the Ben Gana,Unknown,Woman,Algerian,Referenced,Ben Gana
00004,Daughter of Ahmed-El-Kolli,Unknown,Woman,Kulughlu,Referenced,Muqrani
00005,Nacer,Unknown,Man,Algerian,Named,Muqrani
00006,El-Guidoum,Unknown,Man,Algerian,Named,Daouaouida
00007,Ahmed-El-Kolli,أحمد باي بن علي القلي من مدينة القل,Man,Ottoman,Named,NA
00008,Bou-Henak,حسين باي بن حسن بوحنك,Man,Ottoman,Named,NA
00009,Mohammed ben Farhat,محمد بن فرحات باي,Man,Algerian,Named,Unknown
00010,Osman-Bey,عثمان باي بن محمد,Man,Kulughlu,Named,Unknown
00011,Mohammed-N'amane-Bey,محمد نعمان باي بن علي,Man,Ottoman,Named,NA
00012,Abd-Allah-Bey,عبد الله باي اسماعيل,Man,Ottoman,Named,NA
00013,Mourad ben Ali Pacha El Tunisi,Unknown,Man,Kulughlu,Named,Henanecha
00014,Omar ben Abd-el Rahman Bash-Agha,عمر باي بن عبد الرحمان,Man,Ottoman,Named,NA
00015,Wives of Kelian Hassein Bey Bou-Kemia,Unknown,Woman,Algerian,Referenced,Unknown
00016,Hossein Bey-Zereg-Ainou,حسين بن زرق عينو,Man,Ottoman,Named,NA
00017,El-Hadj-Ahmed,أحمد باي بن محمد الشريف,Man,Kulughlu,Named,Ben Gana
00018,Ahmed ben Nacer,Unknown,Man,Algerian,Named,Henanecha
00019,Soultan ben Menasser,Unknown,Man,Algerian,Named,Henanecha
00020,Mahmoud ben Hassein Bey,Unknown,Man,Unknown,Named,Unkown
00021,Achour,Unknown,Man,Algerian,Named,Unknown
00022,Younès,Unknown,Man,Tunisian,Named,Unknown
00023,Ali-Pacha El Tunisi,Unknown,Man,Ottoman,Named,Unknown
00024,Deikra bint al-hadj ibn Bou-Zeyyid al Muqrani,Unknown,Woman,Algerian,Referenced,Muqrani
00025,Son1 of Salah Bey,Unknown,Man,Ottoman-European,Referenced,NA
00026,Ali ben Moustafa-Engliz-Bey,Unknown,Man,Kulughlu,Referenced,Unknown
00027,Azîza-Bey,Unknown,Woman,Algerian,Named,Unknown
00028,Female cousin of Keliane Hassein-Bey Bou Kemia,Unknown,Woman,Algerian,Referenced,Unknown
00029,Ahmed-Bey le Mamlouk,أحمد باي بن عبد الله المملوك,Man,European,Named,NA
00030,Ali Ben Youssef Bey ,Unknown,Man,Ottoman,Named,NA
00031,Hamouda-Bey,حمودة باي,Man,Algerian,Named,Unknown
00032,Salah Bey,صالح بن مصطفى باي,Man,Ottoman,Named,NA
00033,Ahmed ben Sakheri,Unknown,Man,Algerian,Named,Daouaouida
00034,Tourkia,Unknown,Woman,Kulughlu,Named,Unknown
00035,Son of Redjeb,Unknown,Man,Ottoman-European,Referenced,Daouaouida
00036,Ahmed-Bey ben Farhat, أحمد بن فرحات باي,Man,Kulughlu,Named,Unknown
00037,Oum-Hani,Unknown,Woman,Ottoman-European,Named,NA
00038,Ali-Khodja-Bey,علي خوجة باي,Man,Ottoman,Named,NA
00039,Abd-Er-Rahmane ben Ferhat-Bey,عبد الرحمان بن فرحات باي,Man,Ottoman,Named,NA
00040,Ali ben Hamouda-Bey,علي بن حمودة باي,Man,Kulughlu,Named,Unknown
00041,Moustafa,Unknown,Man,Ottoman,Named,NA
00042,Ismaïl ben Ibrahim Bey Ben Ali El-Critli,Unknown,Man,Kulughlu,Named,Unknown
00043,Daughter of Bou-Henak,Unknown,Woman,Kulughlu,Referenced,Unknown
00044,El-Hadj,Unknown,Man,Algerian,Referenced,Muqrani
00045,Hussein-Chaouch Bey,حيسين شاوش,Man,Unknown,Named,Unknown
00046,Mourad,مراد باي,Man,Ottoman,Named,NA
00047,Hossein Denguezli Bey,حسين دنجزلي باي,Man,Ottoman,Named,NA
00048,Ahmed-Chaouch,أحمد شاوش القبايلي,Man,Ottoman,Named,NA
00049,Hassein Bey Ben Salah Bey,حسين باي بن صالح,Man,Ottoman,Named,NA
00050,Redjeb-Bey,رجب بن فرحات باي,Man,Ottoman,Named,NA
