Id,Label,timeset,arabic name,gender,ethnicity,named,tribal affiliation,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Clustering Coefficient,componentnumber,modularity_class,clustering,triangles,eigencentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality
32,Salah Bey,,صالح بن مصطفى باي,Man,Ottoman,Named,,20,20,4,0.567568,0.700397,0.058615,0.010526,6,17,0.010526,2,1,0.058615,0.003291,0.000193
7,Ahmed-El-Kolli,,أحمد باي بن علي القلي من مدينة القل,Man,Ottoman,Named,,9,9,4,0.47191,0.559524,0.027332,0.25,6,3,0.25,9,0.726125,0.027332,0.044872,0.001226
8,Bou-Henak,,حسين باي بن حسن بوحنك,Man,Ottoman,Named,,6,6,3,0.512195,0.603175,0.012054,0,5,8,0,0,0.133112,0.012054,0.05036,0.000607
4,Daughter of Ahmed-El-Kolli,,,Woman,Kulughlu,Referenced,Muqrani,4,4,4,0.442105,0.494048,0.01161,0.333333,6,3,0.333333,2,0.413476,0.01161,0.251397,0.002919
23,Ali-Pacha El Tunisi,,,Man,Ottoman,Named,,7,7,4,0.488372,0.611111,0.010804,0.142857,5,16,0.142857,3,0.167212,0.010804,0.051948,0.000561
154,Mohammed or Hammoud ben Salah Bey,,,Man,Kulughlu,Named,,2,2,5,0.385321,0.433333,0.009433,0,6,12,0,0,0.220628,0.009433,1.304348,0.012304
37,Oum-Hani,,,Woman,Ottoman-European,Named,,6,6,3,0.479167,0.572464,0.007686,0.2,2,5,0.2,3,0.200375,0.007686,0.076923,0.000591
50,Redjeb-Bey,,رجب بن فرحات باي,Man,Ottoman,Named,,6,6,4,0.5,0.59058,0.007686,0.2,2,15,0.2,3,0.239969,0.007686,0.089552,0.000688
51,Ferhat Bey,,فرحات باي,Man,Ottoman,Named,,9,9,4,0.469388,0.615942,0.007485,0.111111,2,15,0.111111,4,0.270108,0.007485,0.022989,0.000172
33,Ahmed ben Sakheri,,,Man,Algerian,Named,Daouaouida,6,6,4,0.442308,0.550725,0.007028,0.2,2,5,0.2,3,0.177813,0.007028,0.074074,0.000521
126,Mohammed Chérif,,,Man,Algerian,Named,Daouaouida,7,7,5,0.344262,0.435714,0.006531,0.380952,6,3,0.380952,8,0.464943,0.006531,0.061813,0.000404
95,Sheikh El-Arab Ali-Bou-Akkaz,,,Man,Algerian,Named,Daouaouida,2,2,5,0.318182,0.355556,0.00645,0,6,3,0,0,0.092173,0.00645,0.666667,0.0043
58,Daughter of Brahim ben Bou-Aziz,,,Woman,Algerian,Referenced,Henanecha,3,3,5,0.378378,0.437302,0.00645,0.333333,6,17,0.333333,1,0.235657,0.00645,0.31746,0.002048
77,Daughter of Salah Bey,,,Woman,Kulughlu,Referenced,,2,2,5,0.378378,0.427381,0.00645,0,6,17,0,0,0.215258,0.00645,0.909091,0.005864
83,Moustafa-Engliz-Bey,,الحاج مصطفى,Man,Ottoman,Named,,3,3,6,0.287671,0.338095,0.00645,0.333333,6,12,0.333333,1,0.068585,0.00645,0.222222,0.001433
43,Daughter of Bou Henak,,,Woman,Kulughlu,Referenced,,3,3,4,0.396226,0.472222,0.005483,0.333333,5,8,0.333333,1,0.079202,0.005483,0.444444,0.002437
27,Azîza-Bey,,,Woman,Algerian,Named,,4,4,5,0.377049,0.472464,0.003736,0,2,15,0,0,0.108471,0.003736,0.1,0.000374
24,Deikra,,,Woman,Algerian,Referenced,Muqrani,3,3,5,0.33871,0.39127,0.003306,0.333333,6,3,0.333333,1,0.23697,0.003306,0.244898,0.00081
3,Daughter of the Ben Gana,,,Woman,Algerian,Referenced,Ben Gana,2,2,5,0.328125,0.372222,0.003306,0,6,3,0,0,0.151749,0.003306,0.45,0.001488
57,Farhate,,,Man,Algerian,Named,,2,2,6,0.245614,0.282143,0.003306,0,6,3,0,0,0.026808,0.003306,0.333333,0.001102
78,El-Yezid,,,Man,Moroccan,Named,,2,2,6,0.28,0.319048,0.003306,0,6,17,0,0,0.050874,0.003306,0.333333,0.001102
145,Daughter2 of Salah Bey,,,Woman,Ottoman-European,Referenced,,2,2,5,0.371681,0.421429,0.003306,0,6,17,0,0,0.212515,0.003306,0.47619,0.001574
46,Mourad,,مراد باي,Man,Ottoman,Named,,3,3,4,0.425926,0.496377,0.003238,0.333333,2,15,0.333333,1,0.138532,0.003238,0.428571,0.001388
131,Wife of Hamouda-Bey,,,Woman,Algerian,Inference,,4,4,5,0.362069,0.471429,0.003064,0.333333,5,16,0.333333,2,0.09547,0.003064,0.152174,0.000466
115,Deïkha,,,Woman,Kulughlu,Named,,4,4,5,0.308824,0.41746,0.002338,0.333333,5,8,0.333333,2,0.065281,0.002338,0.115385,0.00027
110,Daughter of Bou-Diaf,,,Woman,Algerian,Referenced,Awlâd Balqâsam,3,3,4,0.368421,0.448413,0.002177,0.333333,5,8,0.333333,1,0.068927,0.002177,0.333333,0.000726
112,Redjradja,,,Woman,Algerian,Named,Ouled-Haddad,4,4,5,0.328571,0.430435,0.001814,0.333333,2,5,0.333333,2,0.096062,0.001814,0.115385,0.000209
88,Kheir-Ed-Dine-Bey,,خير الدين باي,Man,Unknown,Named,,2,2,4,0.338235,0.398551,0.001774,0,2,5,0,0,0.057241,0.001774,0.428571,0.00076
52,Daughter of Soultan ben Menasser,,,Woman,Algerian,Referenced,Henanecha,3,3,5,0.35,0.439683,0.001613,0.333333,5,16,0.333333,1,0.074703,0.001613,0.202899,0.000327
99,Bou-Aziz,,,Man,Algerian,Named,Henanecha,5,5,2,0.857143,0.916667,0.001048,0.1,3,4,0.1,1,0.053391,0.001048,0.057143,0.00006
93,Keliane Hassein-Bey Bou Kemia,,عليان باي بوخيمة,Man,Ottoman,Named,,4,4,2,0.75,0.833333,0.000968,0,7,7,0,0,0.036764,0.000968,0.075,0.000073
136,Wife of Ali ben Salah Bey,,,Woman,Algerian,Inference,,4,4,2,0.7,0.785714,0.000968,0.333333,8,9,0.333333,2,0.062163,0.000968,0.157895,0.000153
70,M’hammed-Tchaker-Bey,,محمد شاكر باي,Man,Ottoman,Named,,4,4,3,0.636364,0.761905,0.000887,0.166667,8,9,0.166667,1,0.051745,0.000887,0.090909,0.000081
9,Mohammed ben Farhat,,محمد بن فرحات باي,Man,Algerian,Named,,3,3,5,0.359375,0.452174,0.000847,0.333333,2,15,0.333333,1,0.120744,0.000847,0.387097,0.000328
16,Hossein Bey-Zereg-Ainou,,حسين بن زرق عينو,Man,Ottoman,Named,,3,3,5,0.304348,0.393651,0.000726,0.666667,5,8,0.666667,2,0.059294,0.000726,0.307692,0.000223
1,Sister-in-law of Bou-Diaf,,,Woman,Algerian,Referenced,,2,2,4,0.362069,0.424603,0.000726,0,5,8,0,0,0.055692,0.000726,1,0.000726
84,Ibrahim Bey Ben Ali El-Critli ,,إبراهيم باي القرتلي,Man,Ottoman,Named,,4,4,2,0.833333,0.9,0.000645,0.166667,1,1,0.166667,1,0.040387,0.000645,0.1,0.000065
108,Daughter of Si Sadira,,,Woman,Algerian,Referenced,,3,3,2,0.666667,0.75,0.000645,0.333333,7,7,0.333333,1,0.037048,0.000645,0.266667,0.000172
34,Tourkia,,,Woman,Kulughlu,Named,,3,3,3,0.538462,0.666667,0.000484,0.333333,8,9,0.333333,1,0.042054,0.000484,0.190476,0.000092
