Name in Sources,Transliterated Name,Arabic Name,Start-Month,Start-Day,Start-Year,End-Month,End-Day,End-Year,Tenure (Years),Fate,Ethnicity,Prior Leadership Experience,Type of Experience,HistoricName_City_Origin,ModernName_City_Origin,ModernName_Country_Origin,Algerian Wife/Wives,Algerian family,Citations,Notes,Additional notes,Additional Notes
Ramdane-Tchoulak Bey         ,Ramdān-Tshūlaq Bāy,رمضان تشولاق باي,,,1567,,,1574,7,Reassigned,Ottoman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Gaïd, 13; Mercier, 203-4; Al-Antari, 30-2","""le gouverneur Turc"" (Mercier, 205).  It seems reasonable to assume, given Mercier's comment, that the first bey was Ottoman. In Gaïd's account, he only denotes the ethnicity of the one Algerian who served in this position as exceptional in the early years of the province under Ottoman rule (1567-1647).","After a revolt in 1567, Muhammed, pasha in Algiers, arrived in province with troops to quell the rebellion and instantiated Ramdane, known as ""Tchoulak,"" as Bey. (Mercier, 203-4 - communicating the accounts of two historians - Marmol and Haedo, the latter of which conforms to the ""traditions indigènes."") Given that Tchoulak occurs as a surname in Germany, France, and Algeria; I am guessing that it is an ancient surname from the Ottoman Empire (given what we know about the immigration of Turkish people).  ",
Djaafar Bey         ,Jʿfar Bāy,جعفر باي,,,1574,,,1588,14,Reassigned,Ottoman,unknown,unknown,unknown,unknown,Georgia,unknown,unknown,"Gaïd, 14; Al-Antari, 32.","Georgia was tenuously part of the Ottoman Empire at this time, and this bey may have come from this region as a draftee into the Janissary corps.",,
Mohammed Ben Ferhat Bey         ,Muhammad Ben Ferḥāt Bāy,محمد بن فرحات باي,,,1588,,,1608,20,Killed in battle,Algerian,unknown,unknown,Constantine,Constantine,Algeria,unknown,unknown,"Mercier, 220; Gaïd, 14; Al-Antari, 32-4.","“n’était pas Turc mais une des principales notabilités de Qacentina.” (Gaïd, 14)",,
Hassan Bey         ,Ḥasan Bāy ,حسن باي,,,1608,,,1622,14,Died of illness,Ottoman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Mercier, 221; Gaïd, 15-16; Al-Antari, 34.",,,
Mourad bey        ,Murād Bāy,مراد باي,,,1622,,,1647,25,Died of illness,Ottoman,1,Janissary,unknown,unknown,Corsica,0,None,"Vayssettes, 70-80; Mercier, 224; Gaïd, 16-20; Al-Antari, 34-6; Feraud, ""Epoque de l'établissement des Turcs à Constantine"" Revue Africaine(1866), 182, 196; ","""Un Turc, du nom de Mourad, était alors bey de Constantine"" (Mercier, 224).  Mourad, according to Grangaud was a freed slave of Corsican origin, a janissary who would have been considered a ""Turk"" in Algeria: ""esclave affranchi d'origine corse"" (Grangaud, v.2, 293). It appears from a note in Feraud, ""Epoque de l'établissement des Turcs à Constantine"" Revue Africaine(1866), 196 that Mourad succumbed in battle during the revolt. Tired of the violence and exhausted from an intense drought and famine, in 1647, the Constantinois wrote a letter to the Dey in Algiers, submitting to his rule and requesting a governor. Mourad's son, Ferhat, was chosen, and the Dey approved their request. (Vayssettes, 80-1)","For a long time, the Bu 'Akkaz had been defiant and disobedient, so when the Sheikh-al-Arab Muhammed ben Sakheri Bu 'Akkaz arrived at Mourad Bey's spring camp, Mourad asked the Dey of Algiers if he could make an example of them. The Dey acquiesced, and Mourad had the heads of the Sheikh and his entourage cut off and placed on the ramparts of Constantine. To avenge the death of his brother, Ahmed ben Sakheri led an enormous revolte. In the fight to supress the rebellion, Mourad was accused of treason for abandoning the Turks of Algiers to their unfortunate fate by fighting at the back of the forces. (Mercier)",BūʿAzīz introduction to al-ʿAnteri states he fell ill and died (39).
Ferhat Bey         ,Ferḥāt Bāy,فرحات باي,,,1647,,,1653,6,Died of illness,Ottoman,unknown,unknown,unknown,unknown,unknown,0,None,"Vayssettes, 80-4; Mercier, 229-231; Gaïd, 20-21; Al-Antari, 47-8.","Son of Mourad (Gaïd, 20). Feraud refers to Redjeb as a Turk, which means that Ferhat, Redjeb's father, was most likely an Ottoman. Voted into office and confirmed by the dey/pasha of Algiers (Vayssettes, 80-1). Died of the plague in 1664, at which time, his son Mohammed Bey actually took over the office. Prior to Ferhat's death, Mohammed served as bey, but under the eye of his father. (Vayssettes, 84)","""Le gouvernement de Ferhat-Bey a ete considere par les indigenes de Constantine comme le vrai point de depart de la domination turque dans cette ville."" (Mercier, 229)",
Mohammed bey ben Ferhat,"Muhammad Bāy Ben Ferḥāt
",محمد باي بن فرحات,,,1653,,,1666,13,Assassinated,Ottoman,unknown,unknown,unknown,unknown,unknown,1,Elite family in Algiers,"Vayssettes, 84-85; Mercier, 231-2; Gaïd, 21-22; Al-Antari, 48.","Son of Ferhat. He was promoted to bey after the death of his father. (Vayssettes, 84-5).  Feraud refers to Redjeb as a Turk, making his brother, most likely an Ottoman as well. Assassinated on Redjeb's orders (Gaïd, 22)","Married Aziza Bey, daughter of Caïd Ahmed-ben-Ramdan, sister of Chelebi-ben-Ali-Bitchenine (Algerian admiral)",
Redjeb bey ben Ferhat         ,Rejeb Ben Ferḥāt Bāy,رجب بن فرحات باي,10,,1666,,,1672,6,Dismissed,Ottoman,unknown,unknown,unknown,unknown,unknown,1,Elite family in Algiers,"Vayssettes, 85-87; Mercier, 234-5; Gaïd, 22-23; Al-Antari, 48; Féraud, ""Les Ben-Djellab,"" Revue africaine, (1879), p. 351.","""Turc Redjeb"" (Feraud, ""Les Ben-Djellab,"" 351) [vkd: from Mercier: ""Mohammed est remplacé par son frère Redjeb-Bey. – Selon le rapport de l’historien Salah-le bey Mohammed ben Farhate fut destitué en octobre 1666 et remplacé par Redjeb-Bey, frère de son frère."" ]","According to the Chevalier d'Arvieux, who was the French consul in Algiers, having unsuccessfully attempted to revolt against the Ottomans, Redjeb was put to death in 1674 (Mercier, 235).","Married the widow of Mohammed, Aziza Bey."
Kheir ed-din bey ,Khayr Ed-Dīn Bāy,خير الدين باي,,,1672,,04,1676,3,Dismissed,unknown,1,unknown,unknown,unknown,unknown,1,Daouaouida,"Vayssettes, 88; Mercier, 235; Gaïd, 24; Al-Antari, 49.","The following note suggests that Kheir ed-Din needed stronger roots in Constantine, which he found through his marriage to Oum-Hanni's daughter. This might mean that he was an Ottoman outsider. ""Dès que le calme fut rétabli, le bey, disposant de toutes ses troupes s’attaqua aux tribus du Sud. Avec la fraction la plus turbulente des Douaouda commandée par Oum-Hanni, veuve de Ahmed Ben Sekhri, il contracta une alliance en épousant sa fille. Il eut des lors en permanence à sa disposition une cavalerie nombreuse qu’il utilisa dans toutes se expéditions."" (Gaïd, 24).  It is also worth noting, though, that this bey shares the same name as Kheir ed-Dine Barbarossa, one of the founders of the Algerian Regency, and likely the son of a Sipahi (Turkish cavalryman) who served in Mytilene after Lesobos fell. (Roughton, 1) This also suggests that he may have been Ottoman or Kulughlu, but it is hard to know 150 years after Kheir-ed-Dine Barbarossa ruled the province. ","Given the note on the cited pages in Vayssettes & Mercier, I concluded that Kheir-ed-Dine Bey was most likely Algerian: ""Jusqu'alors, les beys avaient été choisi, autant que possible, dans les familles influentes du pays; mais à l'avenir, ce fonctionnaire sera souvent un homme de race turque, pris parmis les yoldach ou leurs compatriots."" (Mercier, 235; similar statement in Vayssettes, 88). However, this makes little sense, given that from at least 1622, the province had been governed by a member of the Ottoman Mourad Bey's family.  The reign of Kheir ed-Din Bey marks an important shift in Ottoman governing policy. According to Vayssette and Mercier, through his governance, beys had been selected from among the notable families in the region who were ethnically Arab. After his reign, beys were supposed to be chosen from the ranks of the janissaries or from among the Turkish families located in the Regency. (Vayssettes, 88) However, my data shows that this may not have been true. The Ottomans may have been merely caudifying in law practices that they had already implemented for the previous 50 years.","Married the daughter of Oum-Hanni, the daughter of Redjeb Bey. (Gaïd, 24)"
Abd-el-Rahman Dali Bey         ,ʿbd Al-Raḥmān Dālī Bāy,عبد الرحمان دالي باي,04,,1676,,,1679,3,Assassinated,Ottoman,1,Janissary,unknown,unknown,unknown,unknown,unknown,"Vayssettes, 88; Mercier, 235; Gaïd, 24; Al-Antari, 49","Janissary. (Mercier, 235). Vayssettes characterized him as ""un vrai turc"" and a man of ""death and pillage,"" according to chronologist Salah-El-Anteri (Essai d'une histoire de Constantine). The Constantinois pled with the Dey of Algiers to do something. He responded by ordering Dali Bey's execution. (Vayssettes, 88)",,April 1676 - 1679
