Name,StartDate,EndDate,Tenure,CapitalCity,Country,Fate,Ethnicity,CapitalCode
Ramdane-Tchoulak Bey         ,1567,1574,7,Constantine,Algeria,Non-Violent Fate,Ottoman,0
Djaafar Bey         ,1574,1588,14,Constantine,Algeria,Non-Violent Fate,Ottoman,0
Mohammed Ben Ferhat Bey         ,1588,1608,20,Constantine,Algeria,Killed in battle,Algerian,0
Hassan Bey         ,1608,1622,14,Constantine,Algeria,Non-Violent Fate,Ottoman,0
Mourad bey        ,1622,1647,25,Constantine,Algeria,Killed in battle,Ottoman,0
Ferhat Bey         ,1647,1653,6,Constantine,Algeria,Non-Violent Fate,Ottoman,0
Mohammed bey ben Ferhat ,1653,1666,13,Constantine,Algeria,Willful Violent Removal,Ottoman,0
Redjeb bey ben Ferhat         ,1666,1672,6,Constantine,Algeria,Non-Violent Fate,Ottoman,0
Kheir ed-din bey ,1673,1676,3,Constantine,Algeria,Non-Violent Fate,Unknown,0
Abd-el-Rahman Dali Bey         ,1676,1679,3,Constantine,Algeria,Willful Violent Removal,Ottoman,0
Omar ben Abd-el Rahman (known as Bash-Agha),1679,1688,9,Constantine,Algeria,Non-Violent Fate,Ottoman,0
Sid-Chaban bey        ,1688,1692,4,Constantine,Algeria,Non-Violent Fate,Ottoman,0
Ali Khudja bey (known as El-Anteri)         ,1692,1700,8,Constantine,Algeria,Killed in battle,Ottoman,0
Ahmed bey ben Ferhat        ,1700,1703,3,Constantine,Algeria,Willful Violent Removal,Kulughlu,0
Ibrahim bey El Euldj         ,1703,1707,4,Constantine,Algeria,Willful Violent Removal,European,0
Hamouda bey         ,1707,1708,0.5,Constantine,Algeria,Unknown,Algerian,0
Ali bey ben Hamouda         ,1708,1708,0.5,Constantine,Algeria,Unknown,Algerian,0
Hussein-Chaouch Bey        ,1709,1710,1,Constantine,Algeria,Unknown,Unknown,0
Abd-el Rahman ben Ferhat bey         ,1710,1713,3,Constantine,Algeria,Non-Violent Fate,Unknown,0
Hossein (known as Denguezli) Bey ,1710,1710,0.333333333,Constantine,Algeria,Unknown,Kulughlu,0
Ali ben Sala bey         ,1710,1710,0.333333333,Constantine,Algeria,Non-Violent Fate,Ottoman,0
Kelian-Hussein (Known as Bou-Kemia)      ,1713,1736,23,Constantine,Algeria,Non-Violent Fate,Ottoman,0
Hasssen Bey Ben Hussein (Known as Bou-Hanek)       ,1736,1754,18,Constantine,Algeria,Non-Violent Fate,Ottoman,0
Hossein Bey (Known as Zereg-Ainou)         ,1754,1756,2,Constantine,Algeria,Non-Violent Fate,Ottoman,0
Ahmed Bey Ben Ali (Known as El-Kolli) ,1756,1771,15,Constantine,Algeria,Non-Violent Fate,Ottoman,0
"Salah Bey 

",1771,1792,21,Constantine,Algeria,Willful Violent Removal,Ottoman,0
Ibrahim Bey (Known as Bou Seba)     ,1792,1795,3,Constantine,Algeria,Willful Violent Removal,Kulughlu,0
Hussein Bey ben Bou Hanek ,1792,1792,0.008219178,Constantine,Algeria,Willful Violent Removal,Ottoman,0
"Moustapha ben Soliman El-Ouznadji 
",1795,1798,3,Constantine,Algeria,Willful Violent Removal,Ottoman,0
"Hadj-Mustapha Ben Hossein-Ingliz 
",1798,1803,5,Constantine,Algeria,Non-Violent Fate,Ottoman,0
"Osman Bey Ben Mohammed, Koulougli 
",1803,1804,1,Constantine,Algeria,Killed in battle,Kulughlu,0
Abd-Allah Bey Ben Ismail ,1804,1806,2,Constantine,Algeria,Willful Violent Removal,Ottoman,0
"Hussein bey ben Salah Bey
",1806,1807,1,Constantine,Algeria,Willful Violent Removal,Kulughlu,0
Ali Ben Youssef Bey ,1807,1808,1,Constantine,Algeria,Willful Violent Removal,Ottoman,0
"Ahmed Chaouche, known as El-Kebayli         ",1808,1811,3,Constantine,Algeria,Willful Violent Removal,Ottoman,0
Ahmed Tobbal        ,1808,1808,0.04109589,Constantine,Algeria,Willful Violent Removal,Ottoman,0
Mohammed Naman bey Ben-Ali  ,1811,1814,3,Constantine,Algeria,Willful Violent Removal,Ottoman,0
Mohammed Tchakar bey         ,1814,1818,4,Constantine,Algeria,Willful Violent Removal,Ottoman,0
Kara Mustapha        ,1818,1819,1,Constantine,Algeria,Non-Violent Fate,Ottoman,0
Ahmed Bey El Mamelouk Ben Abd-Allah        ,1818,1818,0.5,Constantine,Algeria,Non-Violent Fate,European,0
Mohammed bey El-Mili Ben Daoud,1818,1818,0.083333333,Constantine,Algeria,Willful Violent Removal,Ottoman,0
Ibraham Bey El-Gharbi       ,1819,1820,1,Constantine,Algeria,Willful Violent Removal,Ottoman,0
Ahmed Bey El Mamelouk Ben Abd-Allah        ,1820,1822,2,Constantine,Algeria,Willful Violent Removal,European,0
Ibrahim Bey Ben Ali El-Critli ,1822,1824,2,Constantine,Algeria,Willful Violent Removal,Ottoman,0
Mohammed Manamli         ,1824,1826,2,Constantine,Algeria,Non-Violent Fate,Ottoman,0
Ahmed Bey         ,1826,1837,11,Constantine,Algeria,Willful Violent Removal,Kulughlu,0
Aroudji Barberousse,1516,1518,2,Algiers,Algeria,,,1
Kheir-ed-Din,1518,1533,15,Algiers,Algeria,,,1
Hassan-Agha,1533,1545,12,Algiers,Algeria,,,1
El-Hadji,1545,1546,1,Algiers,Algeria,,,1
